Classificação_Lucro;Auditoria_De_Frete;Verificação_De_Entrega;Comissões;Classificação_Demográfica
Lucratividade Normal;Frete OK;18;67,95;Adulto
Alta Lucratividade;Frete OK;Pendente;629,901;Adulto
Lucratividade Normal;Frete OK;10;254,592;Adulto
Lucratividade Normal;Frete OK;17;113,4;Adulto
Alta Lucratividade;Frete OK;Pendente;1111,25;Adulto
Alta Lucratividade;Frete OK;4;621,216;Adulto
Lucratividade Normal;Frete OK;Pendente;56,79;Adulto
Alta Lucratividade;Frete OK;19;307,895;Adulto
Lucratividade Normal;Auditar Frete;Pendente;11,685;Adulto
Alta Lucratividade;Frete OK;Pendente;522,529;Adulto
Lucratividade Normal;Frete OK;Pendente;149,94;Adulto
Lucratividade Normal;Frete OK;25;197,35;Jovem
Alta Lucratividade;Frete OK;13;319,067;Adulto
Lucratividade Normal;Frete OK;Pendente;203,116;Adulto
Lucratividade Normal;Frete OK;15;86,972;Adulto
Lucratividade Normal;Frete OK;7;133,836;Jovem
Lucratividade Normal;Frete OK;12;252,168;Jovem
Lucratividade Normal;Frete OK;7;81,753;Adulto
Lucratividade Normal;Frete OK;Pendente;52,578;Adulto
Alta Lucratividade;Frete OK;Pendente;539,752;Adulto
Alta Lucratividade;Frete OK;Pendente;1052,25;Adulto
Lucratividade Normal;Frete OK;Pendente;61,704;Adulto
Lucratividade Normal;Frete OK;Pendente;148,172;Adulto
Alta Lucratividade;Frete OK;4;682,56;Adulto
Lucratividade Normal;Frete OK;21;111,78;Adulto
Lucratividade Normal;Frete OK;3;166,668;Adulto
Alta Lucratividade;Frete OK;17;1306,4;Adulto
Lucratividade Normal;Frete OK;Pendente;133,552;Adulto
Alta Lucratividade;Frete OK;Pendente;405,972;Adulto
Alta Lucratividade;Frete OK;Pendente;1276,45;Adulto
Alta Lucratividade;Frete OK;Pendente;333,625;Adulto
Alta Lucratividade;Frete OK;Pendente;337,428;Adulto
Alta Lucratividade;Frete OK;Pendente;352,184;Jovem
Lucratividade Normal;Frete OK;Pendente;147,924;Adulto
Lucratividade Normal;Frete OK;17;34,146;Adulto
Alta Lucratividade;Frete OK;4;1381;Adulto
Lucratividade Normal;Frete OK;Pendente;125,874;Adulto
Lucratividade Normal;Frete OK;11;135,964;Adulto
Alta Lucratividade;Frete OK;25;2352;Adulto
Lucratividade Normal;Auditar Frete;11;23,46;Jovem
Alta Lucratividade;Frete OK;15;304,38;Adulto
Lucratividade Normal;Auditar Frete;Pendente;23,37;Adulto
Lucratividade Normal;Frete OK;25;159,579;Adulto
Lucratividade Normal;Frete OK;Pendente;263,6;Adulto
Alta Lucratividade;Frete OK;Pendente;261,732;Adulto
Lucratividade Normal;Frete OK;23;90,108;Adulto
Lucratividade Normal;Frete OK;Pendente;124,56;Adulto
Alta Lucratividade;Frete OK;Pendente;376,276;Adulto
Lucratividade Normal;Frete OK;Pendente;136,515;Jovem
Lucratividade Normal;Frete OK;Pendente;223,6;Adulto
Alta Lucratividade;Frete OK;20;368,144;Adulto
Lucratividade Normal;Frete OK;6;100,32;Jovem
Alta Lucratividade;Frete OK;8;460,047;Adulto
Alta Lucratividade;Frete OK;Pendente;355,11;Adulto
Lucratividade Normal;Frete OK;Pendente;519,656;Adulto
Alta Lucratividade;Frete OK;3;539,406;Adulto
Lucratividade Normal;Auditar Frete;Pendente;22,95;Adulto
Lucratividade Normal;Auditar Frete;Pendente;18,632;Adulto
Lucratividade Normal;Frete OK;Pendente;64,617;Adulto
Alta Lucratividade;Frete OK;10;480,096;Adulto
Lucratividade Normal;Frete OK;Pendente;320,2;Adulto
Alta Lucratividade;Frete OK;6;563,89;Adulto
Lucratividade Normal;Frete OK;20;56,712;Adulto
Lucratividade Normal;Frete OK;6;83,521;Jovem
Lucratividade Normal;Frete OK;5;148,07;Adulto
Lucratividade Normal;Frete OK;Pendente;144,823;Jovem
Alta Lucratividade;Frete OK;Pendente;739,25;Adulto
Lucratividade Normal;Frete OK;Pendente;72,306;Adulto
Lucratividade Normal;Frete OK;Pendente;82,008;Jovem
Lucratividade Normal;Frete OK;6;112,71;Jovem
Lucratividade Normal;Auditar Frete;Pendente;16,302;Adulto
Alta Lucratividade;Frete OK;5;1429,5;Jovem
Lucratividade Normal;Frete OK;3;210,8;Adulto
Lucratividade Normal;Frete OK;Pendente;43,775;Adulto
Alta Lucratividade;Frete OK;4;689,04;Adulto
Alta Lucratividade;Frete OK;Pendente;226,404;Adulto
Lucratividade Normal;Frete OK;23;67,184;Adulto
Alta Lucratividade;Frete OK;8;408,842;Adulto
Alta Lucratividade;Frete OK;Pendente;1367,1;Adulto
Alta Lucratividade;Frete OK;Pendente;396,78;Adulto
Lucratividade Normal;Frete OK;10;120,7;Jovem
Lucratividade Normal;Frete OK;24;473,85;Jovem
Lucratividade Normal;Frete OK;Pendente;72,288;Adulto
Lucratividade Normal;Auditar Frete;Pendente;43,218;Adulto
Lucratividade Normal;Auditar Frete;5;25,85;Adulto
Alta Lucratividade;Frete OK;13;309,358;Adulto
Lucratividade Normal;Frete OK;21;96,045;Adulto
Lucratividade Normal;Frete OK;Pendente;289,408;Adulto
Lucratividade Normal;Frete OK;Pendente;140,616;Adulto
Lucratividade Normal;Auditar Frete;Pendente;9,044;Adulto
Lucratividade Normal;Frete OK;25;309,96;Adulto
Lucratividade Normal;Frete OK;6;428,4;Jovem
Lucratividade Normal;Frete OK;Pendente;54,112;Adulto
Alta Lucratividade;Frete OK;15;502,664;Adulto
Alta Lucratividade;Frete OK;Pendente;223,383;Adulto
Lucratividade Normal;Frete OK;Pendente;227,868;Adulto
Alta Lucratividade;Frete OK;Pendente;665;Jovem
Alta Lucratividade;Frete OK;12;319,392;Adulto
Alta Lucratividade;Frete OK;Pendente;424,626;Adulto
Lucratividade Normal;Frete OK;Pendente;144,018;Adulto
Alta Lucratividade;Frete OK;15;276,393;Adulto
Alta Lucratividade;Frete OK;Pendente;714,6;Adulto
Lucratividade Normal;Frete OK;Pendente;175,032;Adulto
Lucratividade Normal;Frete OK;20;107,352;Jovem
Alta Lucratividade;Frete OK;Pendente;667,66;Adulto
Alta Lucratividade;Frete OK;23;454,92;Adulto
Lucratividade Normal;Auditar Frete;Pendente;59,466;Adulto
Lucratividade Normal;Frete OK;10;33,541;Adulto
Alta Lucratividade;Frete OK;Pendente;509,409;Adulto
Lucratividade Normal;Frete OK;Pendente;119,772;Adulto
Lucratividade Normal;Auditar Frete;Pendente;8,551;Adulto
Alta Lucratividade;Frete OK;Pendente;869,5;Jovem
Alta Lucratividade;Frete OK;2;446,082;Adulto
Alta Lucratividade;Frete OK;Pendente;1144,5;Jovem
Lucratividade Normal;Frete OK;Pendente;108,072;Adulto
Lucratividade Normal;Frete OK;8;163,59;Jovem
Lucratividade Normal;Frete OK;24;76,874;Jovem
Lucratividade Normal;Auditar Frete;Pendente;26,524;Adulto
Lucratividade Normal;Auditar Frete;20;9,774;Jovem
Alta Lucratividade;Frete OK;24;598,12;Adulto
Lucratividade Normal;Auditar Frete;Pendente;76,4;Adulto
Lucratividade Normal;Frete OK;Pendente;216,376;Adulto
Lucratividade Normal;Frete OK;Pendente;188,2;Adulto
Lucratividade Normal;Frete OK;9;226,8;Jovem
Alta Lucratividade;Frete OK;Pendente;476,901;Adulto
Alta Lucratividade;Frete OK;6;222,205;Adulto
Alta Lucratividade;Frete OK;Pendente;565,44;Adulto
Alta Lucratividade;Frete OK;Pendente;1492,2;Adulto
Lucratividade Normal;Frete OK;24;193,851;Adulto
Alta Lucratividade;Frete OK;21;335,065;Adulto
Alta Lucratividade;Frete OK;Pendente;581,616;Jovem
Alta Lucratividade;Frete OK;Pendente;573,984;Adulto
Alta Lucratividade;Frete OK;Pendente;731,272;Adulto
Alta Lucratividade;Frete OK;13;803,196;Adulto
Lucratividade Normal;Frete OK;Pendente;468,5;Jovem
Lucratividade Normal;Frete OK;21;33,762;Adulto
Alta Lucratividade;Frete OK;Pendente;520,828;Adulto
Lucratividade Normal;Frete OK;Pendente;135,702;Adulto
Lucratividade Normal;Frete OK;Pendente;245,6;Jovem
Alta Lucratividade;Frete OK;Pendente;567,91;Adulto
Lucratividade Normal;Frete OK;Pendente;213,8;Adulto
Alta Lucratividade;Frete OK;11;480,924;Jovem
Alta Lucratividade;Frete OK;3;1596,7;Adulto
Alta Lucratividade;Frete OK;9;740,52;Jovem
Lucratividade Normal;Frete OK;6;279,452;Jovem
Alta Lucratividade;Frete OK;17;627,858;Adulto
Alta Lucratividade;Frete OK;16;598,671;Adulto
Lucratividade Normal;Frete OK;4;159,93;Adulto
Lucratividade Normal;Frete OK;10;153,425;Jovem
Lucratividade Normal;Frete OK;25;73,8;Adulto
Alta Lucratividade;Frete OK;Pendente;764,1;Adulto
Alta Lucratividade;Frete OK;18;257,754;Adulto
Lucratividade Normal;Frete OK;16;154,53;Adulto
Alta Lucratividade;Frete OK;Pendente;1347,2;Adulto
Lucratividade Normal;Frete OK;21;139,422;Adulto
Lucratividade Normal;Frete OK;Pendente;225,27;Adulto
Lucratividade Normal;Frete OK;6;87,318;Adulto
Alta Lucratividade;Frete OK;19;449,274;Adulto
Lucratividade Normal;Frete OK;6;50,031;Adulto
Alta Lucratividade;Frete OK;Pendente;347,22;Adulto
Lucratividade Normal;Auditar Frete;6;34,39;Adulto
Lucratividade Normal;Frete OK;Pendente;65,52;Adulto
Alta Lucratividade;Frete OK;10;199,234;Adulto
Alta Lucratividade;Frete OK;Pendente;369,792;Adulto
Lucratividade Normal;Frete OK;2;124,2;Adulto
Alta Lucratividade;Frete OK;Pendente;627,741;Adulto
Lucratividade Normal;Frete OK;Pendente;109,055;Adulto
Lucratividade Normal;Frete OK;Pendente;46,529;Adulto
Lucratividade Normal;Frete OK;Pendente;199,215;Adulto
Lucratividade Normal;Frete OK;Pendente;58,548;Adulto
Lucratividade Normal;Frete OK;16;71,519;Adulto
Lucratividade Normal;Frete OK;19;37,411;Adulto
Alta Lucratividade;Frete OK;20;1503,45;Adulto
Alta Lucratividade;Frete OK;8;430,065;Adulto
Lucratividade Normal;Frete OK;8;173,124;Adulto
Lucratividade Normal;Frete OK;Pendente;32,045;Adulto
Alta Lucratividade;Frete OK;2;527,364;Adulto
Lucratividade Normal;Frete OK;5;178,068;Adulto
Lucratividade Normal;Frete OK;Pendente;328,7;Adulto
Alta Lucratividade;Frete OK;6;757,5;Adulto
Alta Lucratividade;Frete OK;Pendente;382,85;Adulto
Alta Lucratividade;Frete OK;14;377,28;Jovem
Lucratividade Normal;Frete OK;16;28,5;Adulto
Lucratividade Normal;Auditar Frete;10;74,35;Adulto
Lucratividade Normal;Frete OK;6;178;Jovem
Alta Lucratividade;Frete OK;20;982,8;Jovem
Lucratividade Normal;Frete OK;15;37,8;Adulto
Alta Lucratividade;Frete OK;13;357,51;Jovem
Lucratividade Normal;Auditar Frete;Pendente;17,568;Adulto
Lucratividade Normal;Frete OK;22;58,212;Adulto
Lucratividade Normal;Auditar Frete;Pendente;11,736;Adulto
Lucratividade Normal;Auditar Frete;Pendente;19,38;Adulto
Alta Lucratividade;Frete OK;Pendente;2184,75;Adulto
Lucratividade Normal;Frete OK;4;193,752;Adulto
Lucratividade Normal;Frete OK;Pendente;219,912;Jovem
Lucratividade Normal;Frete OK;18;75,616;Adulto
Lucratividade Normal;Frete OK;8;46,892;Adulto
Alta Lucratividade;Frete OK;4;605,88;Adulto
Alta Lucratividade;Frete OK;Pendente;482,904;Adulto
Alta Lucratividade;Frete OK;8;377,55;Adulto
Lucratividade Normal;Frete OK;3;383,25;Adulto
Alta Lucratividade;Frete OK;Pendente;794,295;Adulto
Alta Lucratividade;Frete OK;18;1996,2;Adulto
Lucratividade Normal;Frete OK;20;66,334;Jovem
Lucratividade Normal;Frete OK;22;90,972;Adulto
Alta Lucratividade;Frete OK;Pendente;1180;Adulto
