ID_Pedido ; Data ; Produto ; Categoria ; Quantidade ; Preco_Unitario ; Receita_Bruta ; Desconto ; Receita_Liquida ; Regiao ; Canal_Venda ; Status_Entrega ; Estado_UF ; Custo_Unitario ; Custo_Total ; Lucro_Liquido ; Margem_Lucro_Porcentagem ; Idade_Cliente ; Genero_Cliente ; Faixa_Etaria ; Valor_Frete ; Dias_Entrega ; Transportadora ; Meio_Pagamento ; Avaliacao_Cliente
5;43455;Samsung Galaxy M35;Celulares;5;4445;22225;0;22225;Nordeste;Marketplace;Cancelado;RN;1911,35;9556,75;12668,25;0,57;90;Não Informado;50+;170;0;TransFrete;PIX;1
10;43633;Teclado e Mouse Sem Fio Dell KM3322W;Acessórios;7;4391;30737;0,15;26126,45;Sul;Online;Cancelado;PR;2941,97;20593,79;5532,66;0,211764706;68;Masculino;50+;80;0;TransFrete;Voucher;1
19;44680;Notebook ASUS Zenbook 14 OLED;Computadores;1;2921;2921;0,1;2628,9;Sudeste;Loja Física;Cancelado;MG;1285,24;1285,24;1343,66;0,511111111;67;Masculino;50+;102;0;LogTech Express;Boleto;5
20;43001;Micro-ondas Electrolux 31L MEO44;Eletrodomésticos & TV;8;3551;28408;0,05;26987,6;Nordeste;Marketplace;Cancelado;PB;1668,97;13351,76;13635,84;0,505263158;71;Não Informado;50+;46;0;LogTech Express;Cartão de Crédito;3
22;45739;Caixa de Som JBL Flip 6;Eletrodomésticos & TV;2;1714;3428;0,1;3085,2;Nordeste;Marketplace;Cancelado;RN;788,44;1576,88;1508,32;0,488888889;31;Não Informado;30-49;38;0;Correios;PIX;5
30;43992;Google Pixel 11 Pro;Celulares;7;3647;25529;0;25529;Centro-Oeste;Loja Física;Cancelado;DF;1458,8;10211,6;15317,4;0,6;52;Não Informado;50+;169;0;Correios;Cartão de Crédito;1
31;44721;Realme Note 50;Celulares;5;3925;19625;0,15;16681,25;Sul;Online;Cancelado;PR;1962,5;9812,5;6868,75;0,411764706;61;Masculino;50+;82;0;TransFrete;Boleto;5
45;45019;Carregador Portatil Anker PowerCore 10000mAh;Acessórios;6;2566;15396;0,15;13086,6;Norte;Loja Física;Cancelado;TO;1180,36;7082,16;6004,44;0,458823529;42;Não Informado;30-49;49;0;LogTech Express;PIX;2
47;42761;Caixa de Som Portatil Anker Soundcore 2;Eletrodomésticos & TV;5;1384;6920;0,1;6228;Norte;Marketplace;Cancelado;TO;595,12;2975,6;3252,4;0,522222222;42;Masculino;30-49;149;0;Correios;Boleto;4
48;44343;Camera de Seguranca TP-Link Tapo C200;Eletrodomésticos & TV;4;4951;19804;0,05;18813,8;Norte;Marketplace;Cancelado;TO;2624,03;10496,12;8317,68;0,442105263;76;Feminino;50+;36;0;Correios;Cartão de Crédito;5
