ID_Pedido ; Data ; Produto ; Categoria ; Quantidade ; Preco_Unitario ; Receita_Bruta ; Desconto ; Receita_Liquida ; Regiao ; Canal_Venda ; Status_Entrega ; Estado_UF ; Custo_Unitario ; Custo_Total ; Lucro_Liquido ; Margem_Lucro_Porcentagem ; Idade_Cliente ; Genero_Cliente ; Faixa_Etaria ; Valor_Frete ; Dias_Entrega ; Transportadora ; Meio_Pagamento ; Avaliacao_Cliente;Ano_de_Venda
3;45945;Carregador Sem Fio Anker Magnetic 3-in-1;Acessórios;6;2496;14976;0,15;12729,6;Centro-Oeste;Loja Física;Entregue;MS;1447,68;8686,08;4043,52;0,317647059;38;Masculino;30-49;64;10;Correios;Voucher;3;2025
6;45788;Notebook ASUS Zenbook 14 OLED;Computadores;8;4314;34512;0,1;31060,8;Centro-Oeste;Marketplace;Entregue;GO;1768,74;14149,92;16910,88;0,544444444;89;Não Informado;50+;28;4;TransFrete;PIX;3;2025
18;45939;SSD Crucial T500 4TB;Computadores;3;1603;4809;0,15;4087,65;Nordeste;Marketplace;Entregue;MA;1041,95;3125,85;961,8;0,235294118;92;Não Informado;50+;57;7;LogTech Express;Boleto;1;2025
21;45694;Carregador de Pilhas Sony com 4 Pilhas;Eletrodomésticos & TV;5;4209;21045;0;21045;Nordeste;Loja Física;Em trânsito;SE;2104,5;10522,5;10522,5;0,5;49;Masculino;30-49;128;21;Correios;Cartão de Crédito;2;2025
22;45739;Caixa de Som JBL Flip 6;Eletrodomésticos & TV;2;1714;3428;0,1;3085,2;Nordeste;Marketplace;Cancelado;RN;788,44;1576,88;1508,32;0,488888889;31;Não Informado;30-49;38;0;Correios;PIX;5;2025
43;45994;Monitor Gamer LG UltraGear 24;Computadores;9;1043;9387;0,15;7978,95;Sudeste;Online;Entregue;RJ;542,36;4881,24;3097,71;0,388235294;61;Não Informado;50+;171;25;Correios;PIX;1;2025
59;45741;Console Xbox Series X 1TB;Eletrodomésticos & TV;1;3801;3801;0,15;3230,85;Nordeste;Online;Cancelado;MA;1710,45;1710,45;1520,4;0,470588235;93;Masculino;50+;79;0;TransFrete;PIX;4;2025
64;45732;Smart TV Philips Ambilight 55;Eletrodomésticos & TV;1;4913;4913;0,15;4176,05;Nordeste;Loja Física;Entregue;CE;2309,11;2309,11;1866,94;0,447058824;29;Feminino;18-29;173;6;TransFrete;Boleto;1;2025
71;45915;Xiaomi POCO F6;Celulares;2;429;858;0,05;815,1;Norte;Online;Em trânsito;RR;197,34;394,68;420,42;0,515789474;77;Não Informado;50+;158;23;Correios;Boleto;5;2025
72;45681;Headset Gamer Corsair HS55;Acessórios;6;4765;28590;0;28590;Sul;Online;Entregue;PR;2144,25;12865,5;15724,5;0,55;23;Feminino;18-29;52;5;Correios;Boleto;5;2025
86;45863;Nokia G22;Celulares;7;2326;16282;0,05;15467,9;Norte;Loja Física;Entregue;AM;1372,34;9606,38;5861,52;0,378947368;46;Feminino;30-49;65;13;LogTech Express;Voucher;1;2025
92;45913;Notebook Dell Inspiron 15;Computadores;3;2856;8568;0;8568;Nordeste;Loja Física;Entregue;CE;1913,52;5740,56;2827,44;0,33;30;Não Informado;30-49;113;6;TransFrete;PIX;1;2025
101;45906;Motorola Moto G34;Celulares;3;4849;14547;0,05;13819,65;Sudeste;Online;Entregue;SP;1988,09;5964,27;7855,38;0,568421053;31;Feminino;30-49;106;15;TransFrete;PIX;3;2025
110;45878;Samsung Galaxy Buds FE;Acessórios;6;1109;6654;0,1;5988,6;Norte;Online;Cancelado;AC;487,96;2927,76;3060,84;0,511111111;31;Masculino;30-49;94;0;LogTech Express;Boleto;5;2025
114;45666;Carregador de Pilhas Sony com 4 Pilhas;Eletrodomésticos & TV;5;4578;22890;0;22890;Centro-Oeste;Loja Física;Cancelado;DF;2655,24;13276,2;9613,8;0,42;19;Masculino;18-29;138;0;Correios;Boleto;4;2025
121;45695;SSD Crucial T500 4TB;Computadores;2;764;1528;0;1528;Centro-Oeste;Online;Em trânsito;GO;366,72;733,44;794,56;0,52;82;Não Informado;50+;161;21;TransFrete;Cartão de Crédito;1;2025
129;46000;Pilha Recarregavel Duracell AAA;Eletrodomésticos & TV;9;1267;11403;0,15;9692,55;Sudeste;Online;Entregue;RJ;709,52;6385,68;3306,87;0,341176471;86;Masculino;50+;25;24;TransFrete;Voucher;1;2025
